size,IDS,HC,SA
4,0.0005419731140136718,0.000518965721130371,0.0018564939498901367
5,0.0019912004470825197,0.0014844417572021484,0.0051831483840942385
6,0.0063791036605834964,0.0025398969650268556,0.06384761333465576
7,0.01970210075378418,0.0035593509674072266,0.07037429809570313
8,0.08532705307006835,0.00490562915802002,0.11220300197601318
9,0.508896279335022,0.006309318542480469,0.14428880214691162
10,2.505683994293213,0.009578943252563477,0.28407087326049807
11,13.630328130722045,0.012500762939453125,0.2523371934890747
12,83.182328748703,0.016728019714355467,0.2915673017501831
13,,0.024373316764831544,0.35968337059020994
14,,0.03816664218902588,0.34207398891448976
15,,0.03909809589385986,0.409004807472229
16,,0.048676061630249026,0.4450113534927368
17,,0.07571678161621094,0.44759085178375246
18,,0.08681986331939698,0.4893209218978882
19,,0.09844729900360108,0.5649154663085938
20,,0.143288254737854,0.5096260786056519
21,,0.1822831392288208,0.7920732259750366
22,,0.2305312156677246,0.8245006322860717
23,,0.2380171537399292,0.7461612462997437
24,,0.26413400173187257,0.6923745155334473
25,,0.33126072883605956,1.1403473615646362
26,,0.36766772270202636,0.9962250232696533
27,,0.4820284605026245,1.2467745542526245
28,,0.5426290273666382,1.5191838026046753
29,,0.5940340280532836,1.6910359621047975
30,,0.6571095228195191,2.33066143989563
